1.526010	2.629870	1.298200	1.623630	8.322000	1.668630	3.940320	1.213390	1.715250	6.771070	
9.219320	49.481098	10.481200	11.310300	91.920197	8.973500	52.856800	11.536400	10.408900	90.129799	
4.407460	37.785599	16.443100	10.530200	128.298004	4.392040	38.841099	15.560100	10.568300	122.735001	
15.541900	52.753700	24.569799	14.052500	94.928398	15.699900	51.867901	23.676800	13.824700	92.402298	
8.105150	101.815002	7.988340	32.089901	103.179001	8.351940	100.271004	8.993320	31.741301	106.594002	
13.797000	424.803986	30.983101	88.214996	419.559998	14.032100	425.601013	32.583900	89.815804	411.578003	
1.336390	157.542007	1.913250	13.866600	5.678700	1.336190	158.619003	1.647830	14.063800	4.987120	
22.804300	97.704803	26.766701	39.787498	65.432999	23.305000	103.813004	27.306499	41.581799	74.983704	
9.187750	105.262001	27.060499	18.972601	97.393799	9.191160	105.806999	26.483400	19.436199	99.148102	
6.756150	85.028702	20.512400	18.373301	43.916801	6.738560	87.608002	21.048401	19.608000	47.503399	
2.105600	3.376470	13.251000	1.966210	12.897600	2.087200	5.816290	12.749600	2.086220	10.948000	
1.541780	2.462200	2.481800	1.442190	2.138740	1.501780	2.325200	2.517190	1.425790	2.152340	
1.358000	1.026950	1.006740	1.024950	1.010740	1.315800	1.048950	1.008740	1.253990	1.014340	
3.131630	39.736599	3.898670	76.847900	15.614100	3.141040	38.587299	3.982060	80.175102	16.439501	
4.213460	68.128502	15.294500	26.821400	115.974998	4.679040	61.062698	14.904700	26.488100	113.391998	
7.135790	29.790600	8.261150	13.196300	19.385401	7.043390	31.167801	8.140960	13.773300	18.481001	
1.036350	3.092060	1.034150	1.053550	2.380020	1.025350	3.105890	1.042750	1.058350	2.403440	
1.574390	6.621310	2.302830	3.668070	2.734270	1.542790	7.393250	2.129820	3.588260	2.009170	
6.117710	72.782097	3.436490	12.447400	96.189301	6.351060	78.172302	3.513280	12.619200	87.736702	
5.618610	37.196499	36.850300	14.970900	28.316299	5.158400	33.525799	37.960098	14.283300	30.682100	
1.013150	2.054000	1.018150	1.469570	1.027950	1.016950	1.649000	1.018150	1.465380	1.019550	
1.050950	1.688980	1.062560	1.643170	3.051670	1.045350	1.681580	1.039950	1.621970	2.440600	
9.531160	219.725998	37.804199	42.725700	183.949997	9.541560	226.440994	38.565300	42.790100	180.470001	
1.267580	48.429100	2.094030	2.710830	3.924700	1.268590	50.799500	1.795220	3.106860	2.779450	
2.518440	100.294998	2.007850	7.414120	4.191850	2.289220	104.617996	2.171830	8.861090	4.964210	
12.982500	11.403100	16.399900	4.021080	79.813698	13.302900	10.918600	16.284700	4.274840	82.943298	
2.284450	149.593994	2.537660	21.275600	151.001007	2.362450	144.371002	2.455250	21.866699	142.578003	
